NAICScode	ManufacturingSector	State	AnnualPayroll
316	Leather and allied product manufacturing	Indiana	5988
313	Textile mills	Indiana	16621
315	Apparel manufacturing	Indiana	26815
314	Textile product mills	Indiana	68008
312	Beverage and tobacco product manufacturing	Indiana	151516
335	"Electrical equipment, appliance, and component manufacturing"	Indiana	349009
324	Petroleum and coal products manufacturing	Indiana	359166
322	Paper manufacturing	Indiana	528477
321	Wood product manufacturing	Indiana	567047
323	Printing and related support activities	Indiana	597832
327	Nonmetallic mineral product manufacturing	Indiana	701372
334	Computer and electronic product manufacturing	Indiana	736359
337	Furniture and related product manufacturing	Indiana	816518
339	Miscellaneous manufacturing	Indiana	1501412
325	Chemical manufacturing	Indiana	1516155
311	Food manufacturing	Indiana	1633227
326	Plastics and rubber products manufacturing	Indiana	1747136
333	Machinery manufacturing	Indiana	1966199
332	Fabricated metal product manufacturing	Indiana	2803239
331	Primary metal manufacturing	Indiana	3055304
336	Transportation equipment manufacturing	Indiana	7031817